TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,CFID,CFPARAMS,SEASON_ID,GAME_DATE
1610612741,Chicago Bulls,1,1,0,1.0,48.0,95.4,86.1,9.3,0.636,1.17,15.8,0.326,0.744,0.535,0.185,0.43,0.497,99.28,0.625,10,Chicago Bulls,22012,2012-10-31
1610612742,Dallas Mavericks,1,0,1,0.0,48.0,90.0,111.4,-21.3,0.625,1.25,15.1,0.163,0.615,0.396,0.153,0.441,0.487,102.96,0.342,10,Dallas Mavericks,22012,2012-10-31
1610612743,Denver Nuggets,1,0,1,0.0,48.0,75.9,87.3,-11.4,0.576,0.86,14.2,0.327,0.731,0.535,0.223,0.398,0.404,97.54,0.394,10,Denver Nuggets,22012,2012-10-31
1610612765,Detroit Pistons,1,0,1,0.0,48.0,99.5,108.1,-8.6,0.6,1.31,16.5,0.233,0.684,0.444,0.166,0.481,0.531,96.78,0.459,10,Detroit Pistons,22012,2012-10-31
1610612744,Golden State Warriors,1,1,0,1.0,48.0,89.6,87.9,1.7,0.576,1.06,14.3,0.34,0.744,0.527,0.185,0.413,0.453,96.9,0.49,10,Golden State Warriors,22012,2012-10-31
1610612745,Houston Rockets,1,1,0,1.0,48.0,108.1,99.5,8.6,0.718,1.4,20.4,0.316,0.767,0.556,0.206,0.557,0.589,96.78,0.541,10,Houston Rockets,22012,2012-10-31
1610612754,Indiana Pacers,1,1,0,1.0,48.0,94.7,93.3,1.4,0.595,1.16,17.5,0.25,0.712,0.523,0.2,0.506,0.529,94.7,0.544,10,Indiana Pacers,22012,2012-10-31
1610612746,Los Angeles Clippers,1,1,0,1.0,48.0,100.2,89.1,11.1,0.658,1.14,18.7,0.229,0.646,0.47,0.218,0.547,0.582,101.98,0.572,10,Los Angeles Clippers,22012,2012-10-31
1610612747,Los Angeles Lakers,1,0,1,0.0,48.0,110.3,119.2,-8.9,0.583,0.84,15.9,0.429,0.75,0.6,0.26,0.556,0.616,96.7,0.444,10,Los Angeles Lakers,22012,2012-10-31
1610612763,Memphis Grizzlies,1,0,1,0.0,48.0,89.1,100.2,-11.1,0.727,1.14,16.6,0.354,0.771,0.53,0.203,0.395,0.464,101.98,0.428,10,Memphis Grizzlies,22012,2012-10-31
1610612740,New Orleans Hornets,1,0,1,0.0,48.0,98.8,101.6,-2.8,0.743,1.73,19.8,0.214,0.773,0.5,0.156,0.463,0.527,96.78,0.51,10,New Orleans Hornets,22012,2012-10-31
1610612755,Philadelphia 76ers,1,1,0,1.0,48.0,87.3,75.9,11.4,0.6,1.13,14.0,0.269,0.673,0.465,0.166,0.394,0.446,97.54,0.606,10,Philadelphia 76ers,22012,2012-10-31
1610612756,Phoenix Suns,1,0,1,0.0,48.0,87.9,89.6,-1.7,0.5,0.89,12.9,0.256,0.66,0.473,0.186,0.425,0.474,96.9,0.51,10,Phoenix Suns,22012,2012-10-31
1610612757,Portland Trail Blazers,1,1,0,1.0,48.0,119.2,110.3,8.9,0.452,1.58,15.0,0.25,0.571,0.4,0.123,0.56,0.608,96.7,0.556,10,Portland Trail Blazers,22012,2012-10-31
1610612758,Sacramento Kings,1,0,1,0.0,48.0,86.1,95.4,-9.3,0.412,0.67,11.1,0.256,0.674,0.465,0.208,0.44,0.478,99.28,0.375,10,Sacramento Kings,22012,2012-10-31
