TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,CFID,CFPARAMS,SEASON_ID,GAME_DATE
1610612737,Atlanta Hawks,1,0,1,0.0,48.0,92.5,100.3,-7.9,0.71,1.1,18.2,0.154,0.686,0.456,0.215,0.5,0.544,92.34,0.509,10,Atlanta Hawks,22007,2007-11-30
1610612738,Boston Celtics,1,1,0,1.0,48.0,101.1,90.0,11.1,0.586,0.94,13.8,0.273,0.8,0.506,0.192,0.466,0.54,94.22,0.564,10,Boston Celtics,22007,2007-11-30
1610612739,Cleveland Cavaliers,1,0,1,0.0,48.0,91.6,105.1,-13.4,0.433,1.0,11.8,0.178,0.816,0.47,0.145,0.442,0.485,88.04,0.406,10,Cleveland Cavaliers,22007,2007-11-30
1610612742,Dallas Mavericks,1,1,0,1.0,48.0,102.1,93.7,8.3,0.622,1.92,18.7,0.282,0.762,0.531,0.135,0.476,0.516,87.26,0.585,10,Dallas Mavericks,22007,2007-11-30
1610612743,Denver Nuggets,1,1,0,1.0,48.0,112.8,100.2,12.5,0.674,1.63,20.8,0.22,0.833,0.506,0.174,0.6,0.621,107.92,0.574,10,Denver Nuggets,22007,2007-11-30
1610612754,Indiana Pacers,1,0,1,0.0,48.0,87.5,89.3,-1.8,0.636,1.5,15.1,0.203,0.818,0.466,0.132,0.391,0.446,106.38,0.442,10,Indiana Pacers,22007,2007-11-30
1610612746,Los Angeles Clippers,1,0,1,0.0,48.0,100.2,112.8,-12.5,0.568,1.0,15.7,0.167,0.78,0.494,0.197,0.513,0.583,107.92,0.426,10,Los Angeles Clippers,22007,2007-11-30
1610612747,Los Angeles Lakers,1,0,1,0.0,48.0,97.4,121.1,-23.7,0.618,1.05,16.3,0.237,0.568,0.415,0.203,0.494,0.548,98.82,0.381,10,Los Angeles Lakers,22007,2007-11-30
1610612748,Miami Heat,1,0,1,0.0,48.0,90.0,101.1,-11.1,0.469,0.63,12.9,0.2,0.727,0.494,0.254,0.529,0.549,94.22,0.436,10,Miami Heat,22007,2007-11-30
1610612749,Milwaukee Bucks,1,0,1,0.0,48.0,99.8,99.9,0.0,0.333,1.0,11.1,0.216,0.784,0.5,0.136,0.494,0.523,89.64,0.498,10,Milwaukee Bucks,22007,2007-11-30
1610612750,Minnesota Timberwolves,1,0,1,0.0,48.0,101.6,120.0,-18.4,0.378,0.93,12.0,0.325,0.706,0.5,0.167,0.494,0.519,88.98,0.35,10,Minnesota Timberwolves,22007,2007-11-30
1610612740,New Orleans Hornets,1,1,0,1.0,48.0,100.3,92.5,7.9,0.429,1.25,12.2,0.314,0.846,0.544,0.131,0.436,0.481,92.34,0.491,10,New Orleans Hornets,22007,2007-11-30
1610612752,New York Knicks,1,1,0,1.0,48.0,99.9,99.8,0.0,0.389,1.08,12.4,0.216,0.784,0.5,0.143,0.513,0.528,89.64,0.502,10,New York Knicks,22007,2007-11-30
1610612753,Orlando Magic,1,0,1,0.0,48.0,97.2,101.9,-4.6,0.525,1.24,15.4,0.122,0.881,0.473,0.156,0.517,0.541,108.5,0.419,10,Orlando Magic,22007,2007-11-30
1610612755,Philadelphia 76ers,1,1,0,1.0,48.0,93.0,87.4,5.6,0.727,3.0,18.7,0.283,0.806,0.512,0.087,0.388,0.441,93.8,0.532,10,Philadelphia 76ers,22007,2007-11-30
