TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,CFID,CFPARAMS,SEASON_ID,GAME_DATE
1610612738,Boston Celtics,1,0,1,0.0,52.0,89.8,101.0,-11.2,0.412,0.52,10.7,0.333,0.711,0.529,0.264,0.468,0.514,95.69,0.383,10,Boston Celtics,21996,1996-11-09
1610612766,Charlotte Hornets,1,0,1,0.0,48.0,111.9,110.5,1.4,0.727,2.4,20.1,0.229,0.722,0.479,0.114,0.522,0.572,89.06,0.519,10,Charlotte Hornets,21996,1996-11-09
1610612741,Chicago Bulls,1,1,0,1.0,48.0,101.0,89.8,11.2,0.651,1.87,19.4,0.289,0.667,0.471,0.146,0.494,0.515,102.72,0.617,10,Chicago Bulls,21996,1996-11-09
1610612742,Dallas Mavericks,1,0,1,0.0,48.0,89.6,95.8,-6.2,0.625,0.87,16.0,0.268,0.627,0.467,0.245,0.5,0.513,94.4,0.42,10,Dallas Mavericks,21996,1996-11-09
1610612745,Houston Rockets,1,1,0,1.0,48.0,96.8,88.0,8.9,0.733,1.38,16.4,0.391,0.814,0.596,0.17,0.401,0.474,95.3,0.555,10,Houston Rockets,21996,1996-11-09
1610612754,Indiana Pacers,1,1,0,1.0,53.0,99.9,94.3,5.7,0.513,1.11,14.6,0.318,0.765,0.558,0.175,0.471,0.52,94.71,0.545,10,Indiana Pacers,21996,1996-11-09
1610612748,Miami Heat,1,1,0,1.0,51.0,95.8,89.6,6.2,0.639,1.35,16.8,0.373,0.732,0.533,0.179,0.448,0.469,88.93,0.58,10,Miami Heat,21996,1996-11-09
1610612749,Milwaukee Bucks,1,1,0,1.0,53.0,110.5,111.9,-1.4,0.486,1.42,14.5,0.278,0.771,0.521,0.133,0.514,0.565,80.89,0.481,10,Milwaukee Bucks,21996,1996-11-09
1610612755,Philadelphia 76ers,1,1,0,1.0,48.0,108.6,91.4,17.2,0.73,1.0,18.9,0.394,0.705,0.571,0.262,0.576,0.628,103.56,0.653,10,Philadelphia 76ers,21996,1996-11-09
1610612756,Phoenix Suns,1,0,1,0.0,53.0,91.4,108.6,-17.2,0.706,1.26,17.0,0.295,0.606,0.429,0.183,0.428,0.485,94.49,0.347,10,Phoenix Suns,21996,1996-11-09
1610612757,Portland Trail Blazers,1,0,1,0.0,51.0,100.3,104.3,-4.0,0.424,0.64,10.6,0.39,0.702,0.557,0.216,0.456,0.533,93.46,0.49,10,Portland Trail Blazers,21996,1996-11-09
1610612758,Sacramento Kings,1,1,0,1.0,48.0,104.3,100.3,4.0,0.564,1.47,16.3,0.298,0.61,0.443,0.152,0.488,0.527,100.24,0.51,10,Sacramento Kings,21996,1996-11-09
1610612762,Utah Jazz,1,0,1,0.0,51.0,88.0,96.8,-8.9,0.594,1.36,15.4,0.186,0.609,0.404,0.145,0.422,0.469,89.87,0.445,10,Utah Jazz,21996,1996-11-09
1610612764,Washington Bullets,1,0,1,0.0,57.0,94.3,99.9,-5.7,0.59,1.44,16.3,0.235,0.682,0.442,0.151,0.466,0.49,88.13,0.455,10,Washington Bullets,21996,1996-11-09
1610612738,Boston Celtics,1,0,1,0.0,48.0,98.0,105.4,-7.4,0.537,1.1,15.2,0.32,0.651,0.473,0.187,0.478,0.509,108.12,0.393,10,Boston Celtics,21996,1996-11-08
1610612766,Charlotte Hornets,1,1,0,1.0,50.0,115.6,97.8,17.8,0.605,2.3,19.5,0.189,0.583,0.433,0.113,0.566,0.598,85.11,0.621,10,Charlotte Hornets,21996,1996-11-08
1610612741,Chicago Bulls,1,1,0,1.0,49.0,120.6,93.9,26.7,0.694,2.27,21.1,0.343,0.773,0.582,0.135,0.555,0.596,80.87,0.73,10,Chicago Bulls,21996,1996-11-08
1610612739,Cleveland Cavaliers,1,1,0,1.0,48.0,99.8,81.1,18.7,0.686,1.33,18.9,0.375,0.68,0.544,0.204,0.494,0.517,88.46,0.651,10,Cleveland Cavaliers,21996,1996-11-08
1610612743,Denver Nuggets,1,1,0,1.0,48.0,94.5,92.2,2.3,0.722,1.37,18.8,0.295,0.818,0.519,0.191,0.451,0.503,99.06,0.515,10,Denver Nuggets,21996,1996-11-08
