TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,CFID,CFPARAMS,SEASON_ID,GAME_DATE
1610612737,Atlanta Hawks,1,0,1,0.0,48.0,98.0,100.6,-2.7,0.657,1.53,18.3,0.295,0.756,0.518,0.167,0.47,0.501,91.12,0.466,10,Atlanta Hawks,22008,2008-11-28
1610612738,Boston Celtics,1,1,0,1.0,48.0,112.5,88.4,24.1,0.769,2.73,23.7,0.167,0.702,0.47,0.121,0.553,0.595,89.46,0.706,10,Boston Celtics,22008,2008-11-28
1610612766,Charlotte Bobcats,1,1,0,1.0,53.0,103.6,96.7,6.9,0.459,1.31,12.2,0.208,0.75,0.476,0.117,0.456,0.527,100.85,0.543,10,Charlotte Bobcats,22008,2008-11-28
1610612739,Cleveland Cavaliers,1,1,0,1.0,48.0,113.0,96.5,16.5,0.512,1.69,16.0,0.34,0.766,0.553,0.131,0.516,0.548,99.82,0.58,10,Cleveland Cavaliers,22008,2008-11-28
1610612742,Dallas Mavericks,1,0,1,0.0,48.0,113.9,119.2,-5.4,0.744,2.29,23.9,0.222,0.622,0.444,0.149,0.589,0.608,94.78,0.482,10,Dallas Mavericks,22008,2008-11-28
1610612765,Detroit Pistons,1,1,0,1.0,48.0,110.1,101.0,9.2,0.611,1.57,17.2,0.225,0.667,0.466,0.144,0.533,0.581,96.62,0.597,10,Detroit Pistons,22008,2008-11-28
1610612744,Golden State Warriors,1,0,1,0.0,48.0,96.5,113.0,-16.5,0.394,0.93,10.4,0.234,0.66,0.447,0.139,0.422,0.497,99.82,0.42,10,Golden State Warriors,22008,2008-11-28
1610612754,Indiana Pacers,1,0,1,0.0,53.0,96.7,103.6,-6.9,0.6,1.26,16.1,0.25,0.792,0.524,0.17,0.474,0.511,100.85,0.457,10,Indiana Pacers,22008,2008-11-28
1610612747,Los Angeles Lakers,1,1,0,1.0,48.0,119.2,113.9,5.4,0.489,2.3,17.0,0.378,0.778,0.556,0.105,0.521,0.556,94.78,0.518,10,Los Angeles Lakers,22008,2008-11-28
1610612763,Memphis Grizzlies,1,0,1,0.0,48.0,109.8,122.1,-12.4,0.333,1.0,12.7,0.2,0.727,0.456,0.157,0.571,0.596,89.26,0.402,10,Memphis Grizzlies,22008,2008-11-28
1610612748,Miami Heat,1,1,0,1.0,48.0,116.7,100.2,16.5,0.537,2.75,17.9,0.225,0.707,0.469,0.087,0.536,0.577,91.76,0.584,10,Miami Heat,22008,2008-11-28
1610612749,Milwaukee Bucks,1,0,1,0.0,48.0,101.0,110.1,-9.2,0.5,1.21,13.2,0.333,0.775,0.534,0.146,0.429,0.494,96.62,0.403,10,Milwaukee Bucks,22008,2008-11-28
1610612750,Minnesota Timberwolves,1,1,0,1.0,48.0,111.5,110.9,0.6,0.595,1.47,17.0,0.333,0.811,0.566,0.159,0.519,0.569,93.54,0.497,10,Minnesota Timberwolves,22008,2008-11-28
1610612740,New Orleans Hornets,1,0,1,0.0,48.0,98.4,121.7,-23.3,0.429,1.25,13.6,0.216,0.727,0.457,0.137,0.494,0.516,85.2,0.346,10,New Orleans Hornets,22008,2008-11-28
1610612760,Oklahoma City Thunder,1,0,1,0.0,48.0,110.9,111.5,-0.6,0.59,2.3,18.7,0.189,0.667,0.434,0.108,0.545,0.573,93.54,0.503,10,Oklahoma City Thunder,22008,2008-11-28
1610612755,Philadelphia 76ers,1,0,1,0.0,48.0,88.4,112.5,-24.1,0.469,0.94,12.8,0.298,0.833,0.53,0.181,0.429,0.452,89.46,0.294,10,Philadelphia 76ers,22008,2008-11-28
1610612756,Phoenix Suns,1,0,1,0.0,48.0,100.2,116.7,-16.5,0.513,1.05,16.1,0.293,0.775,0.531,0.207,0.538,0.542,91.76,0.416,10,Phoenix Suns,22008,2008-11-28
1610612757,Portland Trail Blazers,1,1,0,1.0,48.0,121.7,98.4,23.3,0.676,2.08,21.4,0.273,0.784,0.543,0.145,0.594,0.631,85.2,0.654,10,Portland Trail Blazers,22008,2008-11-28
1610612758,Sacramento Kings,1,0,1,0.0,48.0,95.6,125.1,-29.4,0.65,1.44,19.8,0.175,0.714,0.451,0.183,0.518,0.538,97.12,0.362,10,Sacramento Kings,22008,2008-11-28
1610612759,San Antonio Spurs,1,1,0,1.0,48.0,122.1,109.8,12.4,0.721,2.38,24.0,0.273,0.8,0.544,0.146,0.625,0.639,89.26,0.598,10,San Antonio Spurs,22008,2008-11-28
1610612761,Toronto Raptors,1,1,0,1.0,48.0,100.6,98.0,2.7,0.65,2.36,20.2,0.244,0.705,0.482,0.119,0.483,0.509,91.12,0.534,10,Toronto Raptors,22008,2008-11-28
1610612762,Utah Jazz,1,1,0,1.0,48.0,125.1,95.6,29.4,0.682,3.0,21.7,0.286,0.825,0.549,0.104,0.59,0.612,97.12,0.638,10,Utah Jazz,22008,2008-11-28
1610612737,Atlanta Hawks,1,0,1,0.0,48.0,86.8,96.8,-10.0,0.5,1.07,12.8,0.174,0.735,0.463,0.148,0.409,0.464,92.66,0.439,10,Atlanta Hawks,22008,2009-04-04
1610612741,Chicago Bulls,1,1,0,1.0,48.0,109.9,100.9,9.0,0.5,1.33,13.3,0.25,0.674,0.46,0.128,0.467,0.555,93.46,0.544,10,Chicago Bulls,22008,2009-04-04
1610612743,Denver Nuggets,1,1,0,1.0,48.0,124.6,107.1,17.5,0.721,2.82,22.9,0.211,0.705,0.476,0.114,0.599,0.643,96.72,0.58,10,Denver Nuggets,22008,2009-04-04
1610612765,Detroit Pistons,1,0,1,0.0,48.0,101.9,108.6,-6.7,0.633,1.58,15.3,0.354,0.657,0.482,0.136,0.42,0.482,87.88,0.429,10,Detroit Pistons,22008,2009-04-04
1610612746,Los Angeles Clippers,1,0,1,0.0,48.0,107.1,124.6,-17.5,0.538,1.31,16.0,0.295,0.789,0.524,0.165,0.518,0.552,96.72,0.42,10,Los Angeles Clippers,22008,2009-04-04
1610612763,Memphis Grizzlies,1,1,0,1.0,48.0,112.7,107.1,5.6,0.706,1.14,19.1,0.233,0.872,0.594,0.221,0.598,0.661,95.1,0.543,10,Memphis Grizzlies,22008,2009-04-04
1610612748,Miami Heat,1,1,0,1.0,48.0,123.1,110.8,12.2,0.698,2.5,22.7,0.162,0.756,0.474,0.125,0.641,0.656,94.86,0.538,10,Miami Heat,22008,2009-04-04
1610612749,Milwaukee Bucks,1,0,1,0.0,48.0,107.1,112.7,-5.6,0.737,2.33,21.8,0.128,0.767,0.406,0.126,0.551,0.578,95.1,0.457,10,Milwaukee Bucks,22008,2009-04-04
1610612751,New Jersey Nets,1,0,1,0.0,48.0,100.9,109.9,-9.0,0.667,1.38,17.0,0.326,0.75,0.54,0.172,0.462,0.515,93.46,0.456,10,New Jersey Nets,22008,2009-04-04
1610612752,New York Knicks,1,0,1,0.0,48.0,99.3,101.2,-1.9,0.514,1.19,15.0,0.279,0.667,0.484,0.167,0.476,0.518,98.24,0.475,10,New York Knicks,22008,2009-04-04
1610612753,Orlando Magic,1,1,0,1.0,48.0,96.8,86.8,10.0,0.6,1.38,14.8,0.265,0.826,0.537,0.143,0.437,0.484,92.66,0.561,10,Orlando Magic,22008,2009-04-04
1610612755,Philadelphia 76ers,1,1,0,1.0,48.0,108.6,101.9,6.7,0.5,1.38,15.3,0.343,0.646,0.518,0.149,0.493,0.55,87.88,0.571,10,Philadelphia 76ers,22008,2009-04-04
1610612761,Toronto Raptors,1,1,0,1.0,48.0,101.2,99.3,1.9,0.553,1.62,15.2,0.333,0.721,0.516,0.129,0.447,0.491,98.24,0.525,10,Toronto Raptors,22008,2009-04-04
1610612764,Washington Wizards,1,0,1,0.0,48.0,110.8,123.1,-12.2,0.684,2.0,20.0,0.244,0.838,0.526,0.139,0.54,0.572,94.86,0.462,10,Washington Wizards,22008,2009-04-04
1610612745,Houston Rockets,1,1,0,1.0,48.0,107.5,93.8,13.7,0.429,1.06,14.4,0.359,0.708,0.552,0.183,0.512,0.555,93.96,0.604,10,Houston Rockets,22008,2008-11-17
1610612746,Los Angeles Clippers,1,0,1,0.0,48.0,91.8,90.9,0.9,0.611,1.69,17.4,0.311,0.868,0.566,0.144,0.431,0.454,92.52,0.515,10,Los Angeles Clippers,22008,2008-11-17
1610612760,Oklahoma City Thunder,1,0,1,0.0,48.0,93.8,107.5,-13.7,0.471,1.23,12.8,0.292,0.641,0.448,0.137,0.423,0.464,93.96,0.396,10,Oklahoma City Thunder,22008,2008-11-17
