TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,CFID,CFPARAMS,SEASON_ID,GAME_DATE
1610612738,Boston Celtics,1,0,1,0.0,48.0,90.4,104.3,-13.8,0.677,1.62,17.1,0.213,0.7,0.403,0.142,0.431,0.467,93.38,0.379,10,Boston Celtics,22001,2001-12-17
1610612755,Philadelphia 76ers,1,1,0,1.0,48.0,104.3,90.4,13.8,0.6,0.91,16.8,0.3,0.787,0.597,0.242,0.545,0.611,93.38,0.621,10,Philadelphia 76ers,22001,2001-12-17
1610612737,Atlanta Hawks,1,0,1,0.0,48.0,80.8,100.8,-20.0,0.679,0.86,15.8,0.342,0.6,0.482,0.25,0.415,0.45,87.62,0.345,10,Atlanta Hawks,22001,2002-01-30
1610612741,Chicago Bulls,1,0,1,0.0,48.0,88.7,98.0,-9.3,0.793,1.05,18.7,0.333,0.733,0.515,0.25,0.45,0.501,89.88,0.404,10,Chicago Bulls,22001,2002-01-30
1610612765,Detroit Pistons,1,1,0,1.0,48.0,100.8,80.8,20.0,0.633,1.19,15.3,0.4,0.658,0.518,0.183,0.422,0.493,87.62,0.655,10,Detroit Pistons,22001,2002-01-30
1610612754,Indiana Pacers,1,1,0,1.0,48.0,89.5,87.0,2.5,0.655,1.46,16.0,0.171,0.783,0.494,0.14,0.426,0.478,93.5,0.52,10,Indiana Pacers,22001,2002-01-30
1610612747,Los Angeles Lakers,1,1,0,1.0,48.0,114.6,91.6,23.0,0.561,2.56,16.9,0.333,0.833,0.567,0.093,0.5,0.534,99.16,0.629,10,Los Angeles Lakers,22001,2002-01-30
1610612763,Memphis Grizzlies,1,0,1,0.0,48.0,87.0,89.5,-2.5,0.606,1.18,16.1,0.217,0.829,0.506,0.18,0.436,0.47,93.5,0.48,10,Memphis Grizzlies,22001,2002-01-30
1610612750,Minnesota Timberwolves,1,0,1,0.0,48.0,95.0,104.5,-9.5,0.722,1.86,18.3,0.392,0.587,0.485,0.146,0.409,0.447,93.84,0.439,10,Minnesota Timberwolves,22001,2002-01-30
1610612753,Orlando Magic,1,0,1,0.0,48.0,91.6,114.6,-23.0,0.559,1.12,14.9,0.167,0.667,0.433,0.168,0.47,0.508,99.16,0.371,10,Orlando Magic,22001,2002-01-30
1610612755,Philadelphia 76ers,1,1,0,1.0,48.0,104.5,95.0,9.5,0.611,1.69,16.6,0.413,0.608,0.515,0.141,0.419,0.49,93.84,0.561,10,Philadelphia 76ers,22001,2002-01-30
1610612762,Utah Jazz,1,1,0,1.0,48.0,98.0,88.7,9.3,0.7,1.05,17.4,0.267,0.667,0.485,0.218,0.5,0.564,89.88,0.596,10,Utah Jazz,22001,2002-01-30
1610612738,Boston Celtics,1,0,1,0.0,48.0,94.4,96.3,-1.9,0.406,0.68,10.4,0.326,0.7,0.5,0.195,0.439,0.492,99.1,0.392,10,Boston Celtics,22001,2002-01-31
