"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Anthony Davis",10700,"Bos@NO 08:00PM ET",48.588,"NO"
"PF","Blake Griffin",9400,"LAC@Min 08:00PM ET",45.000,"LAC"
"PG","Damian Lillard",8800,"Por@Mil 08:00PM ET",43.083,"Por"
"PG","Chris Paul",8400,"LAC@Min 08:00PM ET",36.950,"LAC"
"PG","Eric Bledsoe",8200,"Pho@Chi 08:00PM ET",41.050,"Pho"
"PG","Isaiah Thomas",7700,"Bos@NO 08:00PM ET",36.663,"Bos"
"SG","Jimmy Butler",7700,"Pho@Chi 08:00PM ET",37.471,"Chi"
"SG","Brandon Knight",7700,"Pho@Chi 08:00PM ET",38.619,"Pho"
"C","Pau Gasol",7500,"Pho@Chi 08:00PM ET",37.235,"Chi"
"SG","Tyreke Evans",7100,"Bos@NO 08:00PM ET",38.167,"NO"
"C","DeAndre Jordan",7000,"LAC@Min 08:00PM ET",34.925,"LAC"
"SG","Andrew Wiggins",7000,"LAC@Min 08:00PM ET",31.250,"Min"
"C","Greg Monroe",6900,"Por@Mil 08:00PM ET",35.881,"Mil"
"C","Karl-Anthony Towns",6900,"LAC@Min 08:00PM ET",33.118,"Min"
"PG","Ish Smith",6600,"Bos@NO 08:00PM ET",30.053,"NO"
"PG","Ricky Rubio",6600,"LAC@Min 08:00PM ET",31.673,"Min"
"SG","C.J. McCollum",6600,"Por@Mil 08:00PM ET",32.357,"Por"
"SF","Giannis Antetokounmpo",6600,"Por@Mil 08:00PM ET",30.963,"Mil"
"PG","Derrick Rose",6400,"Pho@Chi 08:00PM ET",28.017,"Chi"
"SG","Avery Bradley",6400,"Bos@NO 08:00PM ET",27.125,"Bos"
"C","Jared Sullinger",6200,"Bos@NO 08:00PM ET",29.100,"Bos"
"PF","Ryan Anderson",6100,"Bos@NO 08:00PM ET",30.813,"NO"
"SG","Jamal Crawford",5600,"LAC@Min 08:00PM ET",20.125,"LAC"
"PF","Markieff Morris",5600,"Pho@Chi 08:00PM ET",22.941,"Pho"
"SF","Jae Crowder",5500,"Bos@NO 08:00PM ET",25.950,"Bos"
"PG","Michael Carter-Williams",5500,"Por@Mil 08:00PM ET",24.438,"Mil"
"C","Mason Plumlee",5400,"Por@Mil 08:00PM ET",27.488,"Por"
"SG","Eric Gordon",5300,"Bos@NO 08:00PM ET",26.838,"NO"
"SF","Al-Farouq Aminu",5300,"Por@Mil 08:00PM ET",25.881,"Por"
"SG","Khris Middleton",5300,"Por@Mil 08:00PM ET",25.845,"Mil"
"PG","Zach LaVine",5300,"LAC@Min 08:00PM ET",25.487,"Min"
"PG","Jerryd Bayless",5000,"Por@Mil 08:00PM ET",24.158,"Mil"
"PF","Ed Davis",5000,"Por@Mil 08:00PM ET",21.774,"Por"
"PF","Nikola Mirotic",5000,"Pho@Chi 08:00PM ET",23.926,"Chi"
"SG","O.J. Mayo",4900,"Por@Mil 08:00PM ET",19.625,"Mil"
"SG","Evan Turner",4900,"Bos@NO 08:00PM ET",22.150,"Bos"
"C","Gorgui Dieng",4800,"LAC@Min 08:00PM ET",20.224,"Min"
"SF","T.J. Warren",4800,"Pho@Chi 08:00PM ET",18.863,"Pho"
"PG","Marcus Smart",4700,"Bos@NO 08:00PM ET",23.278,"Bos"
"PF","Jabari Parker",4700,"Por@Mil 08:00PM ET",18.167,"Mil"
"C","Joakim Noah",4600,"Pho@Chi 08:00PM ET",20.953,"Chi"
"PF","Amir Johnson",4600,"Bos@NO 08:00PM ET",21.138,"Bos"
"C","Meyers Leonard",4600,"Por@Mil 08:00PM ET",19.054,"Por"
"PF","Jon Leuer",4400,"Pho@Chi 08:00PM ET",18.179,"Pho"
"PG","Jrue Holiday",4400,"Bos@NO 08:00PM ET",21.533,"NO"
"C","Tyson Chandler",4300,"Pho@Chi 08:00PM ET",19.133,"Pho"
"SG","J.J. Redick",4200,"LAC@Min 08:00PM ET",18.672,"LAC"
