"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","DeMarcus Cousins",10500,"Uta@Sac 10:00PM ET",46.946,"Sac"
"PG","Rajon Rondo",8500,"Uta@Sac 10:00PM ET",40.830,"Sac"
"PF","Derrick Favors",7900,"Uta@Sac 10:00PM ET",37.118,"Uta"
"SF","Danilo Gallinari",7000,"Orl@Den 09:00PM ET",32.190,"Den"
"C","Nikola Vucevic",7000,"Orl@Den 09:00PM ET",33.176,"Orl"
"SF","Gordon Hayward",7000,"Uta@Sac 10:00PM ET",31.292,"Uta"
"SF","Rudy Gay",6900,"Uta@Sac 10:00PM ET",30.452,"Sac"
"SG","Victor Oladipo",6600,"Orl@Den 09:00PM ET",32.472,"Orl"
"PG","Elfrid Payton",6400,"Orl@Den 09:00PM ET",28.900,"Orl"
"SF","Tobias Harris",6200,"Orl@Den 09:00PM ET",30.375,"Orl"
"C","Rudy Gobert",6200,"Uta@Sac 10:00PM ET",31.536,"Uta"
"SG","Will Barton",5900,"Orl@Den 09:00PM ET",27.083,"Den"
"PF","Kenneth Faried",5800,"Orl@Den 09:00PM ET",27.235,"Den"
"SF","Evan Fournier",5700,"Orl@Den 09:00PM ET",27.213,"Orl"
"PG","Emmanuel Mudiay",5700,"Orl@Den 09:00PM ET",26.881,"Den"
"SF","Wilson Chandler",5500,"Orl@Den 09:00PM ET",0,"Den"
"SG","Alec Burks",5400,"Uta@Sac 10:00PM ET",24.944,"Uta"
"SF","Omri Casspi",5000,"Uta@Sac 10:00PM ET",22.679,"Sac"
"C","Jusuf Nurkic",5000,"Orl@Den 09:00PM ET",0,"Den"
"SG","Rodney Hood",4900,"Uta@Sac 10:00PM ET",22.103,"Uta"
"PG","Darren Collison",4800,"Uta@Sac 10:00PM ET",23.588,"Sac"
"PF","Darrell Arthur",4800,"Orl@Den 09:00PM ET",16.388,"Den"
"C","Kosta Koufos",4700,"Uta@Sac 10:00PM ET",21.943,"Sac"
"PF","Trevor Booker",4600,"Uta@Sac 10:00PM ET",16.132,"Uta"
"C","Joffrey Lauvergne",4500,"Orl@Den 09:00PM ET",18.938,"Den"
"SG","Gary Harris",4100,"Orl@Den 09:00PM ET",18.438,"Den"
"SG","Marco Belinelli",4000,"Uta@Sac 10:00PM ET",18.284,"Sac"
"PF","J.J. Hickson",4000,"Orl@Den 09:00PM ET",16.162,"Den"
"PF","Andrew Nicholson",4000,"Orl@Den 09:00PM ET",16.000,"Orl"
"PG","Trey Burke",3900,"Uta@Sac 10:00PM ET",18.972,"Uta"
"SF","Aaron Gordon",3900,"Orl@Den 09:00PM ET",18.888,"Orl"
"C","Nikola Jokic",3900,"Orl@Den 09:00PM ET",17.250,"Den"
"SG","Ben McLemore",3700,"Uta@Sac 10:00PM ET",14.455,"Sac"
"PG","Jameer Nelson",3500,"Orl@Den 09:00PM ET",16.276,"Den"
"PG","Randy Foye",3500,"Orl@Den 09:00PM ET",11.488,"Den"
"C","Willie Cauley-Stein",3400,"Uta@Sac 10:00PM ET",14.813,"Sac"
"PF","Channing Frye",3300,"Orl@Den 09:00PM ET",12.483,"Orl"
"PF","Jason Smith",3200,"Orl@Den 09:00PM ET",11.567,"Orl"
"C","Dewayne Dedmon",3200,"Orl@Den 09:00PM ET",13.679,"Orl"
"PG","Raul Neto",3200,"Uta@Sac 10:00PM ET",11.958,"Uta"
"SG","Mike Miller",3100,"Orl@Den 09:00PM ET",5.875,"Den"
"PG","C.J. Watson",3100,"Orl@Den 09:00PM ET",13.875,"Orl"
"C","Jeff Withey",3100,"Uta@Sac 10:00PM ET",7.325,"Uta"
"PG","Seth Curry",3100,"Uta@Sac 10:00PM ET",7.125,"Sac"
"PG","Shabazz Napier",3100,"Orl@Den 09:00PM ET",9.526,"Orl"
"SG","Joe Ingles",3100,"Uta@Sac 10:00PM ET",7.750,"Uta"
"PF","Trey Lyles",3100,"Uta@Sac 10:00PM ET",5.500,"Uta"
"SF","Caron Butler",3000,"Uta@Sac 10:00PM ET",5.469,"Sac"
"SG","Elijah Millsap",3000,"Uta@Sac 10:00PM ET",4.556,"Uta"
"SG","James Anderson",3000,"Uta@Sac 10:00PM ET",4.827,"Sac"
"SF","Chris Johnson",3000,"Uta@Sac 10:00PM ET",3.071,"Uta"
"PF","Quincy Acy",3000,"Uta@Sac 10:00PM ET",6.182,"Sac"
"C","Tibor Pleiss",3000,"Uta@Sac 10:00PM ET",1.688,"Uta"
"SF","Duje Dukan",3000,"Uta@Sac 10:00PM ET",0,"Sac"
"PF","Eric Moreland",3000,"Uta@Sac 10:00PM ET",3.900,"Sac"
"SF","Devyn Marble",3000,"Orl@Den 09:00PM ET",0.950,"Orl"
"SF","Kostas Papanikolaou",3000,"Orl@Den 09:00PM ET",3.768,"Den"
"PG","Dante Exum",3000,"Uta@Sac 10:00PM ET",0,"Uta"
"SG","Mario Hezonja",3000,"Orl@Den 09:00PM ET",6.514,"Orl"
