"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12300,"OKC@Uta 09:00PM ET",58.865,"OKC"
"PF","DeMarcus Cousins",10300,"Sac@Cha 07:00PM ET",50.250,"Sac"
"SF","LeBron James",10100,"Orl@Cle 07:00PM ET",49.000,"Cle"
"SF","Kevin Durant",9800,"OKC@Uta 09:00PM ET",46.438,"OKC"
"C","Andre Drummond",9700,"Det@Mil 08:00PM ET",48.423,"Det"
"PG","Rajon Rondo",9000,"Sac@Cha 07:00PM ET",41.214,"Sac"
"SF","Carmelo Anthony",8500,"NY@Mia 07:30PM ET",39.375,"NY"
"SG","Eric Bledsoe",8400,"Pho@SA 08:30PM ET",40.875,"Pho"
"C","Hassan Whiteside",8400,"NY@Mia 07:30PM ET",39.979,"Mia"
"PF","Kevin Love",8200,"Orl@Cle 07:00PM ET",40.385,"Cle"
"SF","Kawhi Leonard",8200,"Pho@SA 08:30PM ET",39.729,"SA"
"PG","Brandon Knight",8200,"Pho@SA 08:30PM ET",39.563,"Pho"
"PF","Chris Bosh",7700,"NY@Mia 07:30PM ET",37.750,"Mia"
"PG","Reggie Jackson",7600,"Det@Mil 08:00PM ET",35.923,"Det"
"PF","Derrick Favors",7600,"OKC@Uta 09:00PM ET",36.104,"Uta"
"SF","Nicolas Batum",7200,"Sac@Cha 07:00PM ET",32.615,"Cha"
"C","Greg Monroe",7200,"Det@Mil 08:00PM ET",36.942,"Mil"
"C","Karl-Anthony Towns",7200,"Phi@Min 08:00PM ET",36.558,"Min"
"PG","Ricky Rubio",7100,"Phi@Min 08:00PM ET",33.750,"Min"
"SF","Giannis Antetokounmpo",7100,"Det@Mil 08:00PM ET",33.250,"Mil"
"SF","Rudy Gay",7000,"Sac@Cha 07:00PM ET",29.558,"Sac"
"C","Nikola Vucevic",7000,"Orl@Cle 07:00PM ET",33.475,"Orl"
"SG","Victor Oladipo",7000,"Orl@Cle 07:00PM ET",31.341,"Orl"
"PG","Kemba Walker",6900,"Sac@Cha 07:00PM ET",33.442,"Cha"
"SG","Andrew Wiggins",6900,"Phi@Min 08:00PM ET",30.271,"Min"
"SG","Dwyane Wade",6800,"NY@Mia 07:30PM ET",32.614,"Mia"
"PF","LaMarcus Aldridge",6800,"Pho@SA 08:30PM ET",32.521,"SA"
"SF","Evan Fournier",6800,"Orl@Cle 07:00PM ET",32.135,"Orl"
"PF","Serge Ibaka",6700,"OKC@Uta 09:00PM ET",29.788,"OKC"
"PG","Kyrie Irving",6700,"Orl@Cle 07:00PM ET",0,"Cle"
"C","Jahlil Okafor",6700,"Phi@Min 08:00PM ET",32.286,"Phi"
"PF","Kristaps Porzingis",6700,"NY@Mia 07:30PM ET",30.018,"NY"
"C","Rudy Gobert",6500,"OKC@Uta 09:00PM ET",32.025,"Uta"
"C","Al Jefferson",6400,"Sac@Cha 07:00PM ET",30.404,"Cha"
"C","Tim Duncan",6300,"Pho@SA 08:30PM ET",30.231,"SA"
"SF","Tobias Harris",6300,"Orl@Cle 07:00PM ET",31.000,"Orl"
"SF","Marcus Morris",6200,"Det@Mil 08:00PM ET",29.923,"Det"
"SF","Gordon Hayward",6200,"OKC@Uta 09:00PM ET",28.250,"Uta"
"PG","Elfrid Payton",6200,"Orl@Cle 07:00PM ET",27.923,"Orl"
"PF","Nerlens Noel",6100,"Phi@Min 08:00PM ET",28.021,"Phi"
"PG","Mo Williams",5900,"Orl@Cle 07:00PM ET",29.045,"Cle"
"PF","Marvin Williams",5700,"Sac@Cha 07:00PM ET",26.404,"Cha"
"PG","Michael Carter-Williams",5600,"Det@Mil 08:00PM ET",26.125,"Mil"
"SG","Khris Middleton",5400,"Det@Mil 08:00PM ET",24.058,"Mil"
"PF","Markieff Morris",5300,"Pho@SA 08:30PM ET",22.250,"Pho"
"PF","Tristan Thompson",5300,"Orl@Cle 07:00PM ET",23.596,"Cle"
"C","Enes Kanter",5300,"OKC@Uta 09:00PM ET",26.288,"OKC"
"PG","Goran Dragic",5200,"NY@Mia 07:30PM ET",22.479,"Mia"
"SG","Alec Burks",5200,"OKC@Uta 09:00PM ET",25.479,"Uta"
"PG","T.J. McConnell",5200,"Phi@Min 08:00PM ET",25.196,"Phi"
"SG","Kentavious Caldwell-Pope",5100,"Det@Mil 08:00PM ET",22.769,"Det"
"SG","Rodney Hood",5000,"OKC@Uta 09:00PM ET",23.659,"Uta"
"C","Tyson Chandler",4900,"Pho@SA 08:30PM ET",21.708,"Pho"
"PG","Tony Parker",4900,"Pho@SA 08:30PM ET",22.500,"SA"
"PG","Tony Wroten",4900,"Phi@Min 08:00PM ET",0,"Phi"
"SG","J.R. Smith",4800,"Orl@Cle 07:00PM ET",18.800,"Cle"
"PG","Darren Collison",4800,"Sac@Cha 07:00PM ET",22.972,"Sac"
"SF","Omri Casspi",4700,"Sac@Cha 07:00PM ET",22.179,"Sac"
"PG","Zach LaVine",4700,"Phi@Min 08:00PM ET",24.538,"Min"
"PG","Jeremy Lin",4500,"Sac@Cha 07:00PM ET",21.712,"Cha"
"PG","Jerryd Bayless",4500,"Det@Mil 08:00PM ET",22.654,"Mil"
"PG","Matthew Dellavedova",4500,"Orl@Cle 07:00PM ET",20.154,"Cle"
"PF","Nemanja Bjelica",4500,"Phi@Min 08:00PM ET",20.167,"Min"
"SG","Jeremy Lamb",4500,"Sac@Cha 07:00PM ET",22.625,"Cha"
"SG","Arron Afflalo",4400,"NY@Mia 07:30PM ET",20.792,"NY"
"SF","Robert Covington",4400,"Phi@Min 08:00PM ET",20.450,"Phi"
"SG","Dion Waiters",4400,"OKC@Uta 09:00PM ET",19.827,"OKC"
"SF","Jerami Grant",4400,"Phi@Min 08:00PM ET",22.018,"Phi"
"SG","Manu Ginóbili",4300,"Pho@SA 08:30PM ET",24.600,"SA"
"PF","Ersan Ilyasova",4300,"Det@Mil 08:00PM ET",18.481,"Det"
