"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","Danny Green",4300,"Pho@SA 08:30PM ET",18.577,"SA"
"SG","Marco Belinelli",4300,"Sac@Cha 07:00PM ET",19.411,"Sac"
"SG","Langston Galloway",4300,"NY@Mia 07:30PM ET",22.339,"NY"
"SF","Luol Deng",4200,"NY@Mia 07:30PM ET",20.542,"Mia"
"C","Robin Lopez",4200,"NY@Mia 07:30PM ET",20.589,"NY"
"PG","Brandon Jennings",4200,"Det@Mil 08:00PM ET",0,"Det"
"PF","Jabari Parker",4200,"Det@Mil 08:00PM ET",15.429,"Mil"
"SG","Tyler Johnson",4100,"NY@Mia 07:30PM ET",16.727,"Mia"
"C","Kosta Koufos",4000,"Sac@Cha 07:00PM ET",19.268,"Sac"
"C","Timofey Mozgov",4000,"Orl@Cle 07:00PM ET",16.521,"Cle"
"PG","Trey Burke",4000,"OKC@Uta 09:00PM ET",20.542,"Uta"
"SF","Aaron Gordon",4000,"Orl@Cle 07:00PM ET",19.712,"Orl"
"SF","Justise Winslow",4000,"NY@Mia 07:30PM ET",16.604,"Mia"
"SG","Kevin Martín",3900,"Phi@Min 08:00PM ET",19.875,"Min"
"SF","P.J. Tucker",3900,"Pho@SA 08:30PM ET",16.583,"Pho"
"PG","José Calderón",3800,"NY@Mia 07:30PM ET",17.643,"NY"
"SF","T.J. Warren",3800,"Pho@SA 08:30PM ET",16.841,"Pho"
"SG","Nik Stauskas",3800,"Phi@Min 08:00PM ET",18.654,"Phi"
"SG","O.J. Mayo",3700,"Det@Mil 08:00PM ET",12.125,"Mil"
"PF","Cody Zeller",3700,"Sac@Cha 07:00PM ET",16.727,"Cha"
"C","Steven Adams",3700,"OKC@Uta 09:00PM ET",17.981,"OKC"
"PF","David West",3600,"Pho@SA 08:30PM ET",13.442,"SA"
"PG","Greivis Vasquez",3600,"Det@Mil 08:00PM ET",17.615,"Mil"
"SG","Iman Shumpert",3600,"Orl@Cle 07:00PM ET",0,"Cle"
"SG","Hollis Thompson",3600,"Phi@Min 08:00PM ET",17.679,"Phi"
"C","Gorgui Dieng",3600,"Phi@Min 08:00PM ET",16.327,"Min"
"SG","Ben McLemore",3600,"Sac@Cha 07:00PM ET",12.393,"Sac"
"SF","Stanley Johnson",3600,"Det@Mil 08:00PM ET",14.731,"Det"
"PG","Patty Mills",3500,"Pho@SA 08:30PM ET",17.558,"SA"
"PF","John Henson",3500,"Det@Mil 08:00PM ET",14.389,"Mil"
"C","Willie Cauley-Stein",3500,"Sac@Cha 07:00PM ET",15.929,"Sac"
"PF","Boris Diaw",3400,"Pho@SA 08:30PM ET",15.500,"SA"
"PG","Isaiah Canaan",3400,"Phi@Min 08:00PM ET",17.821,"Phi"
"C","Dewayne Dedmon",3400,"Orl@Cle 07:00PM ET",15.479,"Orl"
"PF","Channing Frye",3300,"Orl@Cle 07:00PM ET",13.031,"Orl"
"SG","Gerald Green",3300,"NY@Mia 07:30PM ET",11.458,"Mia"
"PF","Jon Leuer",3300,"Pho@SA 08:30PM ET",15.271,"Pho"
"C","Anderson Varejao",3200,"Orl@Cle 07:00PM ET",6.932,"Cle"
"PF","Trevor Booker",3200,"OKC@Uta 09:00PM ET",13.955,"Uta"
"C","Nikola Pekovic",3200,"Phi@Min 08:00PM ET",0,"Min"
"PF","Kyle O'Quinn",3200,"NY@Mia 07:30PM ET",14.979,"NY"
"PG","Jerian Grant",3200,"NY@Mia 07:30PM ET",14.393,"NY"
"C","Frank Kaminsky",3200,"Sac@Cha 07:00PM ET",10.271,"Cha"
"SF","Richard Jefferson",3100,"Orl@Cle 07:00PM ET",12.500,"Cle"
"PG","C.J. Watson",3100,"Orl@Cle 07:00PM ET",13.875,"Orl"
"SG","Sasha Vujacic",3100,"NY@Mia 07:30PM ET",11.705,"NY"
"PG","D.J. Augustin",3100,"OKC@Uta 09:00PM ET",13.250,"OKC"
"SF","Derrick Williams",3100,"NY@Mia 07:30PM ET",13.286,"NY"
"PF","Kevin Garnett",3000,"Phi@Min 08:00PM ET",12.545,"Min"
"PG","André Miller",3000,"Phi@Min 08:00PM ET",13.000,"Min"
"PF","Matt Bonner",3000,"Pho@SA 08:30PM ET",0.750,"SA"
"C","Nick Collison",3000,"OKC@Uta 09:00PM ET",10.500,"OKC"
"PG","Steve Blake",3000,"Det@Mil 08:00PM ET",10.417,"Det"
"SG","James Jones",3000,"Orl@Cle 07:00PM ET",5.865,"Cle"
"PF","Louis Amundson",3000,"NY@Mia 07:30PM ET",7.125,"NY"
"C","Chris Andersen",3000,"NY@Mia 07:30PM ET",3.500,"Mia"
"PG","Ronnie Price",3000,"Pho@SA 08:30PM ET",10.300,"Pho"
"PF","Amar'e Stoudemire",3000,"NY@Mia 07:30PM ET",9.000,"Mia"
"SF","Caron Butler",3000,"Sac@Cha 07:00PM ET",5.964,"Sac"
"SF","Tayshaun Prince",3000,"Phi@Min 08:00PM ET",8.385,"Min"
"SG","Rasual Butler",3000,"Pho@SA 08:30PM ET",7.938,"SA"
"SF","Steve Novak",3000,"OKC@Uta 09:00PM ET",4.750,"OKC"
"PF","Chris Copeland",3000,"Det@Mil 08:00PM ET",5.800,"Mil"
"PF","Udonis Haslem",3000,"NY@Mia 07:30PM ET",5.500,"Mia"
"PF","Anthony Tolliver",3000,"Det@Mil 08:00PM ET",9.042,"Det"
"PG","Beno Udrih",3000,"NY@Mia 07:30PM ET",11.125,"Mia"
"PF","Carl Landry",3000,"Phi@Min 08:00PM ET",0,"Phi"
"C","Sasha Kaun",3000,"Orl@Cle 07:00PM ET",2.083,"Cle"
"PG","Brian Roberts",3000,"Sac@Cha 07:00PM ET",3.714,"Cha"
"PF","Jason Smith",3000,"Orl@Cle 07:00PM ET",11.281,"Orl"
"SG","Anthony Morrow",3000,"OKC@Uta 09:00PM ET",7.438,"OKC"
"PF","Joel Anthony",3000,"Det@Mil 08:00PM ET",0,"Det"
"PF","Tyler Hansbrough",3000,"Sac@Cha 07:00PM ET",4.875,"Cha"
"PF","Josh McRoberts",3000,"NY@Mia 07:30PM ET",9.188,"Mia"
"C","Aron Baynes",3000,"Det@Mil 08:00PM ET",9.731,"Det"
"C","Spencer Hawes",3000,"Sac@Cha 07:00PM ET",14.038,"Cha"
"SG","Jodie Meeks",3000,"Det@Mil 08:00PM ET",2.000,"Det"
"SF","Lance Thomas",3000,"NY@Mia 07:30PM ET",9.964,"NY"
"SG","Sonny Weems",3000,"Pho@SA 08:30PM ET",4.688,"Pho"
"SG","Elijah Millsap",3000,"OKC@Uta 09:00PM ET",4.000,"Uta"
"SF","Kyle Singler",3000,"OKC@Uta 09:00PM ET",6.771,"OKC"
"SG","James Anderson",3000,"Sac@Cha 07:00PM ET",5.917,"Sac"
"C","Jeff Withey",3000,"OKC@Uta 09:00PM ET",5.900,"Uta"
"SF","Chris Johnson",3000,"OKC@Uta 09:00PM ET",3.139,"Uta"
"PF","Andrew Nicholson",3000,"Orl@Cle 07:00PM ET",7.125,"Orl"
"PG","Seth Curry",3000,"Sac@Cha 07:00PM ET",5.375,"Sac"
"C","Miles Plumlee",3000,"Det@Mil 08:00PM ET",5.659,"Mil"
"PF","Quincy Acy",3000,"Sac@Cha 07:00PM ET",5.429,"Sac"
"PF","Cory Jefferson",3000,"Pho@SA 08:30PM ET",4.500,"Pho"
"SG","Jared Cunningham",3000,"Orl@Cle 07:00PM ET",6.659,"Cle"
"PG","Troy Daniels",3000,"Sac@Cha 07:00PM ET",2.550,"Cha"
"SG","Andre Roberson",3000,"OKC@Uta 09:00PM ET",12.646,"OKC"
"SG","Joe Harris",3000,"Orl@Cle 07:00PM ET",2.563,"Cle"
"PF","Kevin Seraphin",3000,"NY@Mia 07:30PM ET",8.400,"NY"
"C","Tibor Pleiss",3000,"OKC@Uta 09:00PM ET",1.688,"Uta"
"SF","Duje Dukan",3000,"Sac@Cha 07:00PM ET",0,"Sac"
"PG","Phil Pressey",3000,"Phi@Min 08:00PM ET",12.028,"Phi"
"SF","Josh Huestis",3000,"OKC@Uta 09:00PM ET",0,"OKC"
"PG","Kendall Marshall",3000,"Phi@Min 08:00PM ET",0,"Phi"
"SF","Reggie Bullock",3000,"Det@Mil 08:00PM ET",1.656,"Det"
"PG","Shabazz Napier",3000,"Orl@Cle 07:00PM ET",8.979,"Orl"
"SG","Joe Ingles",3000,"OKC@Uta 09:00PM ET",8.833,"Uta"
"C","Boban Marjanovic",3000,"Pho@SA 08:30PM ET",3.625,"SA"
"PF","Eric Moreland",3000,"Sac@Cha 07:00PM ET",2.583,"Sac"
"SF","Jonathon Simmons",3000,"Pho@SA 08:30PM ET",5.375,"SA"
"SF","Devyn Marble",3000,"Orl@Cle 07:00PM ET",1.625,"Orl"
"PF","Adreian Payne",3000,"Phi@Min 08:00PM ET",8.969,"Min"
"PG","Ray McCallum",3000,"Pho@SA 08:30PM ET",2.688,"SA"
"SG","Darrun Hilliard",3000,"Det@Mil 08:00PM ET",0,"Det"
"PG","Spencer Dinwiddie",3000,"Det@Mil 08:00PM ET",11.500,"Det"
"SF","Michael Kidd-Gilchrist",3000,"Sac@Cha 07:00PM ET",0,"Cha"
"PF","Johnny O'Bryant",3000,"Det@Mil 08:00PM ET",10.885,"Mil"
"SG","Josh Richardson",3000,"NY@Mia 07:30PM ET",4.438,"Mia"
"SF","P.J. Hairston",3000,"Sac@Cha 07:00PM ET",9.375,"Cha"
"SF","Jakarr Sampson",3000,"Phi@Min 08:00PM ET",10.446,"Phi"
"C","Alex Len",3000,"Pho@SA 08:30PM ET",14.875,"Pho"
"PF","Jarnell Stokes",3000,"NY@Mia 07:30PM ET",1.250,"Mia"
"SF","Mirza Teletovic",3000,"Pho@SA 08:30PM ET",11.729,"Pho"
"PF","Richaun Holmes",3000,"Phi@Min 08:00PM ET",10.714,"Phi"
"SF","Kyle Anderson",3000,"Pho@SA 08:30PM ET",8.404,"SA"
"SF","Shabazz Muhammad",3000,"Phi@Min 08:00PM ET",11.558,"Min"
"PF","Mitch McGary",3000,"OKC@Uta 09:00PM ET",3.650,"OKC"
"SG","Archie Goodwin",3000,"Pho@SA 08:30PM ET",8.611,"Pho"
"SF","Cleanthony Early",3000,"NY@Mia 07:30PM ET",2.700,"NY"
"PG","Raul Neto",3000,"OKC@Uta 09:00PM ET",10.688,"Uta"
"PF","Christian Wood",3000,"Phi@Min 08:00PM ET",9.182,"Phi"
"PG","Tyler Ennis",3000,"Det@Mil 08:00PM ET",9.208,"Mil"
"PG","Aaron Harrison",3000,"Sac@Cha 07:00PM ET",1.250,"Cha"
"PG","Cameron Payne",3000,"OKC@Uta 09:00PM ET",2.542,"OKC"
"C","Joel Embiid",3000,"Phi@Min 08:00PM ET",0,"Phi"
"PG","Dante Exum",3000,"OKC@Uta 09:00PM ET",0,"Uta"
"SF","Damien Inglis",3000,"Det@Mil 08:00PM ET",4.800,"Mil"
"SF","Damjan Rudez",3000,"Phi@Min 08:00PM ET",1.917,"Min"
"SG","Mario Hezonja",3000,"Orl@Cle 07:00PM ET",8.096,"Orl"
"PG","Tyus Jones",3000,"Phi@Min 08:00PM ET",2.875,"Min"
"SG","Devin Booker",3000,"Pho@SA 08:30PM ET",6.472,"Pho"
"PF","Trey Lyles",3000,"OKC@Uta 09:00PM ET",4.850,"Uta"
"SG","Rashad Vaughn",3000,"Det@Mil 08:00PM ET",4.656,"Mil"
