"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12300,"Dal@OKC 07:00PM ET",58.865,"OKC"
"PG","Stephen Curry",10900,"GS@Den 08:00PM ET",55.107,"GS"
"PF","Anthony Davis",10700,"Pho@NO 06:00PM ET",44.050,"NO"
"SF","Kevin Durant",9800,"Dal@OKC 07:00PM ET",46.438,"OKC"
"PF","Blake Griffin",9500,"Tor@LAC 03:30PM ET",45.979,"LAC"
"PG","Damian Lillard",8700,"Por@LAL 09:30PM ET",43.054,"Por"
"PG","Chris Paul",8600,"Tor@LAC 03:30PM ET",36.417,"LAC"
"PG","Kyle Lowry",8500,"Tor@LAC 03:30PM ET",42.214,"Tor"
"SG","Eric Bledsoe",8400,"Pho@NO 06:00PM ET",40.875,"Pho"
"PG","Brandon Knight",7900,"Pho@NO 06:00PM ET",39.563,"Pho"
"C","Brook Lopez",7500,"Bos@Bkn 06:00PM ET",36.673,"Bkn"
"PG","Isaiah Thomas",7400,"Bos@Bkn 06:00PM ET",35.646,"Bos"
"PF","Draymond Green",7400,"GS@Den 08:00PM ET",37.661,"GS"
"C","DeAndre Jordan",7300,"Tor@LAC 03:30PM ET",33.875,"LAC"
"SG","DeMar DeRozan",7200,"Tor@LAC 03:30PM ET",34.696,"Tor"
"PF","Thaddeus Young",6900,"Bos@Bkn 06:00PM ET",31.846,"Bkn"
"SG","Tyreke Evans",6800,"Pho@NO 06:00PM ET",0,"NO"
"PF","Serge Ibaka",6700,"Dal@OKC 07:00PM ET",29.788,"OKC"
"SF","Danilo Gallinari",6500,"GS@Den 08:00PM ET",31.538,"Den"
"SG","C.J. McCollum",6500,"Por@LAL 09:30PM ET",31.214,"Por"
"PF","Ryan Anderson",6400,"Pho@NO 06:00PM ET",31.519,"NO"
"PF","Dirk Nowitzki",6300,"Dal@OKC 07:00PM ET",32.188,"Dal"
"SG","Eric Gordon",6300,"Pho@NO 06:00PM ET",29.635,"NO"
"C","Jared Sullinger",6300,"Bos@Bkn 06:00PM ET",30.104,"Bos"
"PG","Jarrett Jack",6200,"Bos@Bkn 06:00PM ET",32.167,"Bkn"
"SF","Al-Farouq Aminu",6200,"Por@LAL 09:30PM ET",28.893,"Por"
"SG","Klay Thompson",6100,"GS@Den 08:00PM ET",27.500,"GS"
"PG","Ish Smith",6000,"Pho@NO 06:00PM ET",29.288,"NO"
"SG","Kobe Bryant",5900,"Por@LAL 09:30PM ET",28.306,"LAL"
"PG","Emmanuel Mudiay",5900,"GS@Den 08:00PM ET",29.596,"Den"
"PF","Julius Randle",5800,"Por@LAL 09:30PM ET",27.146,"LAL"
"SF","DeMarre Carroll",5700,"Tor@LAC 03:30PM ET",25.182,"Tor"
"PF","Kenneth Faried",5700,"GS@Den 08:00PM ET",27.962,"Den"
"C","Jonas Valanciunas",5700,"Tor@LAC 03:30PM ET",26.714,"Tor"
"SG","Will Barton",5600,"GS@Den 08:00PM ET",27.385,"Den"
"SF","Jae Crowder",5600,"Bos@Bkn 06:00PM ET",27.292,"Bos"
"PG","Deron Williams",5500,"Dal@OKC 07:00PM ET",28.458,"Dal"
"C","Zaza Pachulia",5500,"Dal@OKC 07:00PM ET",28.731,"Dal"
"SF","Wilson Chandler",5500,"GS@Den 08:00PM ET",0,"Den"
"C","Mason Plumlee",5500,"Por@LAL 09:30PM ET",27.357,"Por"
"PF","Markieff Morris",5400,"Pho@NO 06:00PM ET",22.250,"Pho"
"C","Jusuf Nurkic",5400,"GS@Den 08:00PM ET",0,"Den"
"SF","Harrison Barnes",5300,"GS@Den 08:00PM ET",25.625,"GS"
"SF","Joe Johnson",5200,"Bos@Bkn 06:00PM ET",24.769,"Bkn"
"SG","Jordan Clarkson",5200,"Por@LAL 09:30PM ET",24.771,"LAL"
"C","Enes Kanter",5100,"Dal@OKC 07:00PM ET",26.288,"OKC"
"SG","Jamal Crawford",5000,"Tor@LAC 03:30PM ET",21.250,"LAC"
"SF","Andre Iguodala",5000,"GS@Den 08:00PM ET",23.929,"GS"
"SG","Avery Bradley",5000,"Bos@Bkn 06:00PM ET",24.250,"Bos"
"C","Tyson Chandler",4900,"Pho@NO 06:00PM ET",21.708,"Pho"
"C","Andrew Bogut",4900,"GS@Den 08:00PM ET",23.188,"GS"
"C","Roy Hibbert",4800,"Por@LAL 09:30PM ET",24.979,"LAL"
"SG","Evan Turner",4800,"Bos@Bkn 06:00PM ET",21.146,"Bos"
"PG","Marcus Smart",4800,"Bos@Bkn 06:00PM ET",23.278,"Bos"
