"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","DeMarcus Cousins",10500,"Uta@Sac 10:00PM ET",46.946,"Sac"
"PG","Russell Westbrook",10400,"OKC@Mem 08:00PM ET",55.775,"OKC"
"SF","Kevin Durant",10100,"OKC@Mem 08:00PM ET",47.821,"OKC"
"PG","Rajon Rondo",8500,"Uta@Sac 10:00PM ET",40.830,"Sac"
"PF","Derrick Favors",7900,"Uta@Sac 10:00PM ET",37.118,"Uta"
"C","Marc Gasol",7300,"OKC@Mem 08:00PM ET",34.321,"Mem"
"SF","Danilo Gallinari",7000,"Orl@Den 09:00PM ET",32.190,"Den"
"C","Nikola Vucevic",7000,"Orl@Den 09:00PM ET",33.176,"Orl"
"SF","Gordon Hayward",7000,"Uta@Sac 10:00PM ET",31.292,"Uta"
"SF","Rudy Gay",6900,"Uta@Sac 10:00PM ET",30.452,"Sac"
"PG","Mike Conley",6700,"OKC@Mem 08:00PM ET",30.798,"Mem"
"SG","Victor Oladipo",6600,"Orl@Den 09:00PM ET",32.472,"Orl"
"PG","Elfrid Payton",6400,"Orl@Den 09:00PM ET",28.900,"Orl"
"PF","Zach Randolph",6300,"OKC@Mem 08:00PM ET",27.969,"Mem"
"PF","Serge Ibaka",6200,"OKC@Mem 08:00PM ET",28.813,"OKC"
"SF","Tobias Harris",6200,"Orl@Den 09:00PM ET",30.375,"Orl"
"C","Rudy Gobert",6200,"Uta@Sac 10:00PM ET",31.536,"Uta"
"SG","Will Barton",5900,"Orl@Den 09:00PM ET",27.083,"Den"
"PF","Kenneth Faried",5800,"Orl@Den 09:00PM ET",27.235,"Den"
"SF","Evan Fournier",5700,"Orl@Den 09:00PM ET",27.213,"Orl"
"PG","Emmanuel Mudiay",5700,"Orl@Den 09:00PM ET",26.881,"Den"
"SF","Wilson Chandler",5500,"Orl@Den 09:00PM ET",0,"Den"
"SG","Alec Burks",5400,"Uta@Sac 10:00PM ET",24.944,"Uta"
"SF","Jeff Green",5000,"OKC@Mem 08:00PM ET",19.345,"Mem"
"SF","Omri Casspi",5000,"Uta@Sac 10:00PM ET",22.679,"Sac"
"C","Jusuf Nurkic",5000,"Orl@Den 09:00PM ET",0,"Den"
"SG","Rodney Hood",4900,"Uta@Sac 10:00PM ET",22.103,"Uta"
"PG","Darren Collison",4800,"Uta@Sac 10:00PM ET",23.588,"Sac"
"PF","Darrell Arthur",4800,"Orl@Den 09:00PM ET",16.388,"Den"
"C","Kosta Koufos",4700,"Uta@Sac 10:00PM ET",21.943,"Sac"
"PF","Trevor Booker",4600,"Uta@Sac 10:00PM ET",16.132,"Uta"
"C","Enes Kanter",4500,"OKC@Mem 08:00PM ET",23.900,"OKC"
"C","Joffrey Lauvergne",4500,"Orl@Den 09:00PM ET",18.938,"Den"
"SF","Matt Barnes",4400,"OKC@Mem 08:00PM ET",18.845,"Mem"
"PG","Mario Chalmers",4100,"OKC@Mem 08:00PM ET",19.444,"Mem"
"SG","Dion Waiters",4100,"OKC@Mem 08:00PM ET",20.563,"OKC"
"SG","Gary Harris",4100,"Orl@Den 09:00PM ET",18.438,"Den"
"SG","Courtney Lee",4000,"OKC@Mem 08:00PM ET",17.607,"Mem"
"SG","Marco Belinelli",4000,"Uta@Sac 10:00PM ET",18.284,"Sac"
"PF","J.J. Hickson",4000,"Orl@Den 09:00PM ET",16.162,"Den"
"PF","Andrew Nicholson",4000,"Orl@Den 09:00PM ET",16.000,"Orl"
"PG","Trey Burke",3900,"Uta@Sac 10:00PM ET",18.972,"Uta"
"SF","Aaron Gordon",3900,"Orl@Den 09:00PM ET",18.888,"Orl"
"C","Nikola Jokic",3900,"Orl@Den 09:00PM ET",17.250,"Den"
"C","Steven Adams",3800,"OKC@Mem 08:00PM ET",17.863,"OKC"
"SG","Ben McLemore",3700,"Uta@Sac 10:00PM ET",14.455,"Sac"
"PG","Jameer Nelson",3500,"Orl@Den 09:00PM ET",16.276,"Den"
"PG","Randy Foye",3500,"Orl@Den 09:00PM ET",11.488,"Den"
"PF","JaMychal Green",3500,"OKC@Mem 08:00PM ET",14.762,"Mem"
"SF","Tony Allen",3400,"OKC@Mem 08:00PM ET",15.167,"Mem"
"C","Willie Cauley-Stein",3400,"Uta@Sac 10:00PM ET",14.813,"Sac"
"PF","Channing Frye",3300,"Orl@Den 09:00PM ET",12.483,"Orl"
"PF","Jason Smith",3200,"Orl@Den 09:00PM ET",11.567,"Orl"
"PF","Brandan Wright",3200,"OKC@Mem 08:00PM ET",14.571,"Mem"
"SG","Andre Roberson",3200,"OKC@Mem 08:00PM ET",12.711,"OKC"
"C","Dewayne Dedmon",3200,"Orl@Den 09:00PM ET",13.679,"Orl"
"PG","Raul Neto",3200,"Uta@Sac 10:00PM ET",11.958,"Uta"
