"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Kyle Lowry",8900,"LAL@Tor 07:30PM ET",44.131,"Tor"
"PG","John Wall",8600,"Was@Mia 07:30PM ET",41.264,"Was"
"SF","Carmelo Anthony",7900,"Dal@NY 07:30PM ET",36.571,"NY"
"PF","Kristaps Porzingis",7900,"Dal@NY 07:30PM ET",32.357,"NY"
"PF","Chris Bosh",7300,"Was@Mia 07:30PM ET",36.042,"Mia"
"C","Hassan Whiteside",7300,"Was@Mia 07:30PM ET",37.167,"Mia"
"SG","DeMar DeRozan",7200,"LAL@Tor 07:30PM ET",34.333,"Tor"
"SG","Bradley Beal",7200,"Was@Mia 07:30PM ET",33.733,"Was"
"PF","Dirk Nowitzki",7000,"Dal@NY 07:30PM ET",32.600,"Dal"
"SG","Dwyane Wade",6900,"Was@Mia 07:30PM ET",32.103,"Mia"
"PG","Deron Williams",6600,"Dal@NY 07:30PM ET",30.913,"Dal"
"SG","Kobe Bryant",6300,"LAL@Tor 07:30PM ET",27.882,"LAL"
"C","Zaza Pachulia",6300,"Dal@NY 07:30PM ET",28.940,"Dal"
"PF","Julius Randle",6200,"LAL@Tor 07:30PM ET",28.725,"LAL"
"C","Marcin Gortat",5800,"Was@Mia 07:30PM ET",28.484,"Was"
"SG","Jordan Clarkson",5800,"LAL@Tor 07:30PM ET",25.338,"LAL"
"C","Jonas Valanciunas",5600,"LAL@Tor 07:30PM ET",26.714,"Tor"
"SF","DeMarre Carroll",5500,"LAL@Tor 07:30PM ET",24.847,"Tor"
"SF","Otto Porter",5500,"Was@Mia 07:30PM ET",24.389,"Was"
"PG","D'Angelo Russell",5300,"LAL@Tor 07:30PM ET",23.650,"LAL"
"PG","Goran Dragic",5200,"Was@Mia 07:30PM ET",23.847,"Mia"
"C","Bismack Biyombo",4900,"LAL@Tor 07:30PM ET",15.988,"Tor"
"PF","Luis Scola",4800,"LAL@Tor 07:30PM ET",20.238,"Tor"
"SG","Wesley Matthews",4800,"Dal@NY 07:30PM ET",21.868,"Dal"
"C","Roy Hibbert",4700,"LAL@Tor 07:30PM ET",22.763,"LAL"
"SG","Arron Afflalo",4600,"Dal@NY 07:30PM ET",21.385,"NY"
"SG","Gerald Green",4500,"Was@Mia 07:30PM ET",15.604,"Mia"
"SF","Jared Dudley",4300,"Was@Mia 07:30PM ET",15.118,"Was"
"PG","Lou Williams",4300,"LAL@Tor 07:30PM ET",21.181,"LAL"
"PF","Dwight Powell",4300,"Dal@NY 07:30PM ET",21.300,"Dal"
"SF","Luol Deng",4200,"Was@Mia 07:30PM ET",20.192,"Mia"
"PG","Cory Joseph",4200,"LAL@Tor 07:30PM ET",19.226,"Tor"
"PG","Jose Calderon",4100,"Dal@NY 07:30PM ET",18.595,"NY"
"SF","Chandler Parsons",4100,"Dal@NY 07:30PM ET",14.768,"Dal"
"PG","Raymond Felton",4000,"Dal@NY 07:30PM ET",18.571,"Dal"
"SF","Justise Winslow",4000,"Was@Mia 07:30PM ET",16.153,"Mia"
"PF","Nene Hilario",3900,"Was@Mia 07:30PM ET",17.604,"Was"
"C","Robin Lopez",3900,"Dal@NY 07:30PM ET",19.417,"NY"
"SG","Tyler Johnson",3900,"Was@Mia 07:30PM ET",17.294,"Mia"
"PF","Kris Humphries",3700,"Was@Mia 07:30PM ET",14.406,"Was"
"SG","Langston Galloway",3700,"Dal@NY 07:30PM ET",19.238,"NY"
"PF","Brandon Bass",3600,"LAL@Tor 07:30PM ET",13.632,"LAL"
"PG","Ramon Sessions",3600,"Was@Mia 07:30PM ET",16.306,"Was"
"PF","Patrick Patterson",3600,"LAL@Tor 07:30PM ET",14.488,"Tor"
"SG","Nick Young",3500,"LAL@Tor 07:30PM ET",14.028,"LAL"
"SF","Metta World Peace",3300,"LAL@Tor 07:30PM ET",12.313,"LAL"
"PG","Devin Harris",3300,"Dal@NY 07:30PM ET",15.663,"Dal"
