"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","DeMarcus Cousins",10300,"Sac@Orl 05:00PM ET",48.469,"Sac"
"SG","James Harden",10200,"NY@Hou 08:00PM ET",49.962,"Hou"
"SF","LeBron James",10100,"Atl@Cle 07:30PM ET",48.979,"Cle"
"C","Andre Drummond",9900,"Was@Det 07:30PM ET",49.896,"Det"
"SF","Paul George",9700,"Mil@Ind 07:00PM ET",46.646,"Ind"
"PG","Rajon Rondo",8800,"Sac@Orl 05:00PM ET",41.135,"Sac"
"PG","John Wall",8600,"Was@Det 07:30PM ET",40.917,"Was"
"SF","Carmelo Anthony",8500,"NY@Hou 08:00PM ET",40.827,"NY"
"C","Hassan Whiteside",8300,"Phi@Mia 08:00PM ET",39.909,"Mia"
"PF","Paul Millsap",8200,"Atl@Cle 07:30PM ET",41.125,"Atl"
"PF","Kevin Love",8100,"Atl@Cle 07:30PM ET",39.854,"Cle"
"SF","Kawhi Leonard",8100,"Mem@SA 08:30PM ET",40.091,"SA"
"PG","Reggie Jackson",7600,"Was@Det 07:30PM ET",35.854,"Det"
"PF","Chris Bosh",7500,"Phi@Mia 08:00PM ET",37.750,"Mia"
"C","Dwight Howard",7400,"NY@Hou 08:00PM ET",37.944,"Hou"
"C","Greg Monroe",7400,"Mil@Ind 07:00PM ET",36.896,"Mil"
"C","Nikola Vucevic",7300,"Sac@Orl 05:00PM ET",33.778,"Orl"
"SF","Giannis Antetokounmpo",7200,"Mil@Ind 07:00PM ET",34.023,"Mil"
"SG","Victor Oladipo",7100,"Sac@Orl 05:00PM ET",31.975,"Orl"
"SF","Rudy Gay",7000,"Sac@Orl 05:00PM ET",29.558,"Sac"
"C","Al Horford",7000,"Atl@Cle 07:30PM ET",35.625,"Atl"
"C","Marc Gasol",7000,"Mem@SA 08:30PM ET",32.596,"Mem"
"PG","Jeff Teague",7000,"Atl@Cle 07:30PM ET",33.409,"Atl"
"SG","Bradley Beal",6900,"Was@Det 07:30PM ET",34.958,"Was"
"C","Jahlil Okafor",6900,"Phi@Mia 08:00PM ET",31.904,"Phi"
"PF","LaMarcus Aldridge",6800,"Mem@SA 08:30PM ET",32.521,"SA"
"PG","Kyrie Irving",6700,"Atl@Cle 07:30PM ET",0,"Cle"
"SF","Evan Fournier",6600,"Sac@Orl 05:00PM ET",32.104,"Orl"
"SG","Dwyane Wade",6500,"Phi@Mia 08:00PM ET",30.950,"Mia"
"PF","Nerlens Noel",6400,"Phi@Mia 08:00PM ET",28.205,"Phi"
"C","Tim Duncan",6300,"Mem@SA 08:30PM ET",29.375,"SA"
"SG","Monta Ellis",6300,"Mil@Ind 07:00PM ET",28.271,"Ind"
"PG","Mike Conley",6300,"Mem@SA 08:30PM ET",31.135,"Mem"
"PF","Kristaps Porzingis",6300,"NY@Hou 08:00PM ET",27.750,"NY"
"PF","Zach Randolph",6200,"Mem@SA 08:30PM ET",29.167,"Mem"
"SF","Marcus Morris",6100,"Was@Det 07:30PM ET",29.438,"Det"
"SF","Tobias Harris",6100,"Sac@Orl 05:00PM ET",29.917,"Orl"
"PG","George Hill",6000,"Mil@Ind 07:00PM ET",28.175,"Ind"
"PG","Mo Williams",5900,"Atl@Cle 07:30PM ET",29.045,"Cle"
"PG","Elfrid Payton",5900,"Sac@Orl 05:00PM ET",28.188,"Orl"
"PG","Michael Carter-Williams",5900,"Mil@Ind 07:00PM ET",28.036,"Mil"
"SF","Otto Porter",5800,"Was@Det 07:30PM ET",27.722,"Was"
"PF","Terrence Jones",5700,"NY@Hou 08:00PM ET",24.031,"Hou"
"SF","Trevor Ariza",5600,"NY@Hou 08:00PM ET",27.154,"Hou"
"SG","Khris Middleton",5600,"Mil@Ind 07:00PM ET",24.563,"Mil"
"PG","Dennis Schroder",5600,"Atl@Cle 07:30PM ET",24.161,"Atl"
"C","Marcin Gortat",5500,"Was@Det 07:30PM ET",25.389,"Was"
"SF","Kent Bazemore",5400,"Atl@Cle 07:30PM ET",25.396,"Atl"
"PG","Goran Dragic",5200,"Phi@Mia 08:00PM ET",22.591,"Mia"
"PG","T.J. McConnell",5200,"Phi@Mia 08:00PM ET",25.500,"Phi"
"SG","Kentavious Caldwell-Pope",5000,"Was@Det 07:30PM ET",22.771,"Det"
"PG","Tony Wroten",4900,"Phi@Mia 08:00PM ET",0,"Phi"
"PG","Ty Lawson",4800,"NY@Hou 08:00PM ET",22.135,"Hou"
"PG","Jerryd Bayless",4800,"Mil@Ind 07:00PM ET",23.708,"Mil"
"PF","Tristan Thompson",4800,"Atl@Cle 07:30PM ET",22.271,"Cle"
"PG","Tony Parker",4700,"Mem@SA 08:30PM ET",22.146,"SA"
"SF","C.J. Miles",4700,"Mil@Ind 07:00PM ET",22.167,"Ind"
"PG","Darren Collison",4700,"Sac@Orl 05:00PM ET",23.656,"Sac"
"SF","Marcus Thornton",4700,"NY@Hou 08:00PM ET",22.136,"Hou"
"C","Clint Capela",4700,"NY@Hou 08:00PM ET",19.096,"Hou"
"PF","Jordan Hill",4600,"Mil@Ind 07:00PM ET",22.545,"Ind"
"PF","Donatas Motiejunas",4600,"NY@Hou 08:00PM ET",0,"Hou"
"SG","Kyle Korver",4500,"Atl@Cle 07:30PM ET",20.646,"Atl"
"SF","Jeff Green",4500,"Mem@SA 08:30PM ET",17.731,"Mem"
"C","Ian Mahinmi",4500,"Mil@Ind 07:00PM ET",21.386,"Ind"
"SF","Omri Casspi",4500,"Sac@Orl 05:00PM ET",21.481,"Sac"
"SF","Robert Covington",4500,"Phi@Mia 08:00PM ET",16.688,"Phi"
"SF","Jerami Grant",4500,"Phi@Mia 08:00PM ET",22.212,"Phi"
"SF","Luol Deng",4400,"Phi@Mia 08:00PM ET",20.705,"Mia"
"SG","J.R. Smith",4400,"Atl@Cle 07:30PM ET",17.778,"Cle"
"SG","Manu Ginóbili",4300,"Mem@SA 08:30PM ET",24.500,"SA"
"SG","Arron Afflalo",4300,"NY@Hou 08:00PM ET",19.050,"NY"
"SG","Danny Green",4300,"Mem@SA 08:30PM ET",18.771,"SA"
"SG","Langston Galloway",4300,"NY@Hou 08:00PM ET",22.231,"NY"
"C","Robin Lopez",4200,"NY@Hou 08:00PM ET",20.788,"NY"
"PG","Brandon Jennings",4200,"Was@Det 07:30PM ET",0,"Det"
"PF","Ersan Ilyasova",4100,"Was@Det 07:30PM ET",17.750,"Det"
"SG","Marco Belinelli",4100,"Sac@Orl 05:00PM ET",19.288,"Sac"
"PG","Matthew Dellavedova",4100,"Atl@Cle 07:30PM ET",20.042,"Cle"
"SF","Aaron Gordon",4100,"Sac@Orl 05:00PM ET",19.708,"Orl"
"PF","Kris Humphries",4000,"Was@Det 07:30PM ET",18.333,"Was"
"C","Timofey Mozgov",4000,"Atl@Cle 07:30PM ET",16.521,"Cle"
"SF","Justise Winslow",4000,"Phi@Mia 08:00PM ET",16.500,"Mia"
"SG","Tyler Johnson",3900,"Phi@Mia 08:00PM ET",17.775,"Mia"
"PF","Jabari Parker",3900,"Mil@Ind 07:00PM ET",14.417,"Mil"
"SG","Rodney Stuckey",3800,"Mil@Ind 07:00PM ET",19.000,"Ind"
"SF","Thabo Sefolosha",3800,"Atl@Cle 07:30PM ET",18.318,"Atl"
"SG","O.J. Mayo",3800,"Mil@Ind 07:00PM ET",10.250,"Mil"
"C","Kosta Koufos",3800,"Sac@Orl 05:00PM ET",19.192,"Sac"
"SG","Nik Stauskas",3800,"Phi@Mia 08:00PM ET",18.938,"Phi"
"SF","Tony Allen",3700,"Mem@SA 08:30PM ET",16.692,"Mem"
"PG","Mario Chalmers",3700,"Mem@SA 08:30PM ET",19.775,"Mem"
"PG","Greivis Vasquez",3700,"Mil@Ind 07:00PM ET",18.438,"Mil"
"SG","Courtney Lee",3600,"Mem@SA 08:30PM ET",17.750,"Mem"
"PG","José Calderón",3600,"NY@Hou 08:00PM ET",17.077,"NY"
"SG","Iman Shumpert",3600,"Atl@Cle 07:30PM ET",0,"Cle"
"PF","John Henson",3600,"Mil@Ind 07:00PM ET",14.844,"Mil"
"SG","Hollis Thompson",3600,"Phi@Mia 08:00PM ET",18.423,"Phi"
"SF","Stanley Johnson",3600,"Was@Det 07:30PM ET",15.583,"Det"
"SF","Corey Brewer",3500,"NY@Hou 08:00PM ET",14.058,"Hou"
"SG","Garrett Temple",3500,"Was@Det 07:30PM ET",10.393,"Was"
"C","Lavoy Allen",3500,"Mil@Ind 07:00PM ET",14.545,"Ind"
